f,radius,time,bitstring_count
1.000000,10,0.005968,2
1.000000,10,0.006033,4
1.000000,10,0.006140,4
1.000000,10,0.006130,4
1.000000,10,0.006000,4
1.000000,10,0.005920,3
1.000000,10,0.013078,4
1.000000,10,0.005974,3
1.000000,10,0.005964,3
1.000000,10,0.005887,4
1.000000,10,0.006185,4
1.000000,10,0.006179,4
1.000000,10,0.006004,4
1.000000,10,0.005766,4
1.000000,10,0.005817,4
1.000000,10,0.005821,3
1.000000,10,0.006011,4
1.000000,10,0.005867,4
1.000000,10,0.006232,4
1.000000,10,0.005825,3
1.000000,10,0.006397,6
1.000000,10,0.006085,4
1.000000,10,0.005944,3
1.000000,10,0.005957,4
1.000000,10,0.005946,4
1.000000,10,0.005987,4
1.000000,10,0.006108,3
1.000000,10,0.006121,6
1.000000,10,0.006016,4
1.000000,10,0.006127,4
1.000000,10,0.006154,4
1.000000,10,0.013700,4
1.000000,10,0.006168,4
1.000000,10,0.005660,2
1.000000,10,0.006261,2
1.000000,10,0.006020,4
1.000000,10,0.010165,4
1.000000,10,0.005783,3
1.000000,10,0.005905,4
1.000000,10,0.005852,4
1.000000,10,0.005892,4
1.000000,10,0.006004,2
1.000000,10,0.006560,4
1.000000,10,0.005998,4
1.000000,10,0.005855,4
1.000000,10,0.006050,4
1.000000,10,0.005963,3
1.000000,10,0.005885,2
1.000000,10,0.008194,4
1.000000,10,0.006091,4
1.000000,10,0.006125,3
1.000000,10,0.005985,4
1.000000,10,0.005804,4
1.000000,10,0.006372,4
1.000000,10,0.006518,4
1.000000,10,0.009136,4
1.000000,10,0.006381,4
1.000000,10,0.006304,4
1.000000,10,0.006005,4
1.000000,10,0.006130,4
1.000000,10,0.006047,3
1.000000,10,0.006127,4
1.000000,10,0.006030,4
1.000000,10,0.006583,6
1.000000,10,0.006051,2
1.000000,10,0.006742,4
1.000000,10,0.006045,2
1.000000,10,0.005934,4
1.000000,10,0.006414,4
1.000000,10,0.006096,2
1.000000,10,0.006145,4
1.000000,10,0.006495,4
1.000000,10,0.006209,3
1.000000,10,0.005867,4
1.000000,10,0.006071,4
1.000000,10,0.006035,2
1.000000,10,0.005941,4
1.000000,10,0.005910,2
1.000000,10,0.005910,4
0.500000,10,0.006045,6
0.500000,10,0.005993,4
0.500000,10,0.006062,6
0.500000,10,0.006047,6
0.500000,10,0.006132,6
0.500000,10,0.005993,6
0.500000,10,0.006457,7
0.500000,10,0.006095,6
0.500000,10,0.006278,6
0.500000,10,0.006364,6
0.500000,10,0.006420,6
0.500000,10,0.006495,6
0.500000,10,0.006433,6
0.500000,10,0.006240,4
0.500000,10,0.006567,6
0.500000,10,0.006095,5
0.500000,10,0.005867,4
0.500000,10,0.006132,6
0.500000,10,0.006394,7
0.500000,10,0.006294,6
0.500000,10,0.006294,4
0.500000,10,0.006440,4
0.500000,10,0.006484,6
0.500000,10,0.005987,6
0.500000,10,0.006344,6
0.500000,10,0.006484,5
0.500000,10,0.006128,5
0.500000,10,0.006234,6
0.500000,10,0.006271,5
0.500000,10,0.006092,6
0.500000,10,0.006325,6
0.500000,10,0.006264,7
0.500000,10,0.006016,4
0.500000,10,0.006363,6
0.500000,10,0.006095,4
0.500000,10,0.006242,6
0.500000,10,0.006210,6
0.500000,10,0.006167,5
0.500000,10,0.006266,4
0.500000,10,0.014113,5
0.500000,10,0.006315,6
0.500000,10,0.006691,7
0.500000,10,0.006093,6
0.500000,10,0.006677,6
0.500000,10,0.006084,6
0.500000,10,0.006306,6
0.500000,10,0.006276,4
0.500000,10,0.006054,5
0.500000,10,0.006279,7
0.500000,10,0.006170,4
0.500000,10,0.006208,4
0.500000,10,0.006413,7
0.500000,10,0.006459,6
0.500000,10,0.006251,6
0.500000,10,0.006361,4
0.500000,10,0.006430,4
0.500000,10,0.006421,6
0.500000,10,0.006391,6
0.500000,10,0.006433,5
0.500000,10,0.006396,6
0.500000,10,0.006555,6
0.500000,10,0.006384,4
0.500000,10,0.006428,4
0.500000,10,0.006463,6
0.500000,10,0.006358,6
0.500000,10,0.006481,6
0.500000,10,0.006450,6
0.500000,10,0.006287,6
0.500000,10,0.006425,4
0.500000,10,0.006826,6
0.500000,10,0.006382,6
0.500000,10,0.006532,5
0.500000,10,0.006128,6
0.500000,10,0.006407,6
0.500000,10,0.006105,6
0.500000,10,0.006116,4
0.500000,10,0.006106,6
0.500000,10,0.006097,6
0.500000,10,0.006507,6
0.500000,10,0.006317,5
0.500000,10,0.006297,6
0.500000,10,0.006159,5
0.500000,10,0.006224,6
0.500000,10,0.005988,5
0.500000,10,0.006146,7
0.500000,10,0.006057,4
0.500000,10,0.006173,6
0.500000,10,0.005913,4
0.500000,10,0.006055,6
0.500000,10,0.006238,7
0.500000,10,0.006056,4
0.500000,10,0.006227,6
0.500000,10,0.006101,6
0.500000,10,0.006171,5
0.500000,10,0.006125,4
0.500000,10,0.006176,6
0.500000,10,0.006046,4
0.500000,10,0.006094,4
0.500000,10,0.006090,4
0.500000,10,0.006196,6
0.250000,10,0.006363,9
0.250000,10,0.006245,6
0.250000,10,0.006403,8
0.250000,10,0.006419,9
0.250000,10,0.006605,9
0.250000,10,0.010109,9
0.250000,10,0.006559,10
0.250000,10,0.006804,9
0.250000,10,0.006425,10
0.250000,10,0.006630,9
0.250000,10,0.006420,9
0.250000,10,0.006487,8
0.250000,10,0.006323,9
